#TYPE Microsoft.Management.Infrastructure.CimInstance#root/Microsoft/Windows/DHCP/DhcpServerv4Lease
"IPAddress";"ScopeId";"AddressState";"ClientId";"ClientType";"Description";"DnsRegistration";"DnsRR";"HostName";"LeaseExpiryTime";"NapCapable";"NapStatus";"PolicyName";"ProbationEnds";"ServerIP";"PSComputerName"
"192.168.51.3";"192.168.51.0";"InactiveReservation";"33-33-33-33-33-33";"None";"";"NotApplicable";"NoRegistration";"CLC-100";;"False";"FullAccess";;;"0.0.0.0";
"192.168.60.2";"192.168.60.0";"InactiveReservation";"1c-1b-0d-72-fd-0e";"None";"3A PLANTA - IMPRESORA";"NotApplicable";"NoRegistration";"CLC-001unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.3";"192.168.60.0";"InactiveReservation";"1c-1b-0d-71-fd-0f";"None";"3A PLANTA - ESCANER";"NotApplicable";"NoRegistration";"CLC-002unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.4";"192.168.60.0";"InactiveReservation";"1c-1b-0d-71-fd-10";"None";"3A PLANTA - SERVIDOR";"NotApplicable";"NoRegistration";"CLC-003unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.5";"192.168.60.0";"InactiveReservation";"1c-1b-0d-72-fd-11";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-004unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.6";"192.168.60.0";"InactiveReservation";"1c-1b-0d-73-fd-12";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-005unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.7";"192.168.60.0";"InactiveReservation";"1c-1b-0d-71-fd-11";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-006unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.8";"192.168.60.0";"InactiveReservation";"1c-1b-0d-72-fd-12";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-007unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.9";"192.168.60.0";"InactiveReservation";"1c-1b-0d-73-fd-13";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-008unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.10";"192.168.60.0";"InactiveReservation";"1c-1b-0d-71-fd-12";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-009unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.11";"192.168.60.0";"InactiveReservation";"1c-1b-0d-72-fd-13";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-010unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.12";"192.168.60.0";"InactiveReservation";"1c-1b-0d-73-fd-14";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-011unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.13";"192.168.60.0";"InactiveReservation";"1c-1b-0d-71-fd-13";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-012unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.14";"192.168.60.0";"InactiveReservation";"1c-1b-0d-72-fd-14";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-013unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.15";"192.168.60.0";"InactiveReservation";"1c-1b-0d-73-fd-15";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-014unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.16";"192.168.60.0";"InactiveReservation";"1c-1b-0d-71-fd-14";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-015unir.msft";;"False";"FullAccess";;;"255.255.255.255";
"192.168.60.17";"192.168.60.0";"InactiveReservation";"1c-1b-0d-72-fd-15";"None";"3A PLANTA - EQUIPO";"NotApplicable";"NoRegistration";"CLC-016unir.msft";;"False";"FullAccess";;;"255.255.255.255";
